source,author,title,description,publishedAT,content
macrumors,juli clover,kuo: development of apple car has 'lost all visibility',"apple's work on the apple car has ""lost all visibility"" at the current time, according to apple analyst ming-chi kuo he says that if apple does not adopt some kind of acquisition strategy to make inroads in the automotive market, it is unlikely that the ‌app…",2023-09-27T17:56:46Z,"apple's work on the apple car has ""lost all visibility"" at the current time, according to apple analyst ming-chi kuo he says that if apple does not adopt some kind of acquisition strategy to make in… [+1687 chars]"
business insider,jennifer ortakales dawkins,10 gen z status symbols taking over american high schools,"teens love nike, apple, and chick-fil-a according to a new report from piper sandler",2023-10-11T09:32:01Z,"nike remains the most popular brand for teenagers, according to the most recent piper sandler surveyjakub porzycki/nurphoto/getty images <ul><li>teens love nike, apple, and chick-fil-a </li><li>a … [+6157 chars]"
bloomberg,john gruber,microsoft pitched apple on buying bing,,2023-10-02T23:33:13Z,"mark gurman and dina bass, reporting for bloomberg over the weekend: executives from microsoft met with apples services chief, eddy cue, who brokered the current search engine relationship with … [+382 chars]"
cnet,andrew lanxon,smartphone showdown: 15 years of android vs iphone - cnet,"commentary: during the last decade and a half, apple and google have raised each other's game with their fierce rivalry",2023-09-24T14:50:00Z,"""i'm going to destroy android, because it's a stolen product,"" steve jobs says in author walter isaacson's 2011 biography of the late apple co-founder jobs' fury around google and its smartphone so… [+15299 chars]"
time,bloomberg,china flags ‘security incidents with apples iphones,"china flagged security problems with iphones but said purchases won't be barred, after news reports of restricted use of apple products",2023-09-13T11:19:25Z,"china flagged security problems with iphones while saying it isnt barring purchases, the governments first comments on the topic after news reports that authorities are moving to restrict the use of … [+3637 chars]"
9to5mac,michael potuck,"apple pay fall promo offers up to 15% off at brooks brothers, madewell, more","apple pay has launched new deals for using the payment method this fall there are four retailers offering 10-15% off clothing, fashion, and more: brooks brothers, madewell, farfetch, and revolve check out all the details below on the new apple pay promo …",2023-09-28T18:19:07Z,"apple pay has launched new deals for using the payment method this fall there are four retailers offering 10-15% off clothing, fashion, and more: brooks brothers, madewell, farfetch, and revolve ch… [+4227 chars]"
marketwatch,jon swartz,": meta connect will focus on ai and mixed reality, but does that include apple?",ai and mixed reality are likely to be the focus of meta platforms inc's annual developers conference wednesday but the lingering question is whether meta will address a certain nemesis down the road,2023-09-26T12:30:00Z,ai and mixed reality are likely to be the focus of meta platforms incs annual developers conference wednesday but the lingering question is whether meta will address a certain nemesis down the road… [+2720 chars]
business insider,theron mohamed,warren buffett's berkshire hathaway has now cashed in $540 million of hp stock in under a month,"warren buffett's company sold another $130 million of hp stock in three days, and has now slashed its position by about 17% in under four weeks",2023-10-03T10:33:27Z,warren buffettdennis van tine/ap <ul> <li>warren buffett's berkshire hathaway sold another $130 million of hp shares in three days</li> <li>the investor's company has now cashed in about $540 mill… [+2401 chars]
the wall street journal,,streaming is changing the sound of music,"to succeed on spotify and other services, songs are getting shorter, albums are getting longer, and artists are collaborating across genres",2023-09-16T02:55:14Z,"in 2022, on-demand music streams in the us alone exceeded 1 trillion starting in the mid-2010s, the success of streaming services like spotify, tencent and apple music led the music industry into … [+300 chars]"
readwrite,radek zielinski,pc market decline slows in q3 as recovery signs emerge,"the global pc market experienced another quarter of decline in q3 2023, according to new data from market research firm […] the post pc market decline slows in q3 as recovery signs emerge appeared first on readwrite",2023-10-10T16:00:35Z,"the global pc market experienced another quarter of decline in q3 2023, according to new data from market research firm international data corporation (idc) according to an oct 9 idc report, shipm… [+2328 chars]"
9to5mac,ben lovejoy,inflation barely dents spending of us teens; iphone and apple watch still a priority,"a new report says that the impact of inflation made only a tiny dent in the spending of us teens, but that an iphone and apple watch remain top priorities investment banking giant piper sandler has shared the results of its latest large-scale survey of th…",2023-10-11T14:15:10Z,"a new report says that the impact of inflation made only a tiny dent in the spending of us teens, but that an iphone and apple watch remain top priorities investment banking giant piper sandler has… [+2241 chars]"
