source,author,title,description,publishedAT,content
macrumors,juli clover,kuo: development of apple car has 'lost all visibility',"apple's work on the apple car has ""lost all visibility"" at the current time, according to apple analyst ming-chi kuo he says that if apple does not adopt some kind of acquisition strategy to make inroads in the automotive market, it is unlikely that the ‌app…",2023-09-27T17:56:46Z,"apple's work on the apple car has ""lost all visibility"" at the current time, according to apple analyst ming-chi kuo he says that if apple does not adopt some kind of acquisition strategy to make in… [+1687 chars]"
business insider,jennifer ortakales dawkins,10 gen z status symbols taking over american high schools,"teens love nike, apple, and chick-fil-a according to a new report from piper sandler",2023-10-11T09:32:01Z,"nike remains the most popular brand for teenagers, according to the most recent piper sandler surveyjakub porzycki/nurphoto/getty images <ul><li>teens love nike, apple, and chick-fil-a </li><li>a … [+6157 chars]"
bloomberg,john gruber,microsoft pitched apple on buying bing,,2023-10-02T23:33:13Z,"mark gurman and dina bass, reporting for bloomberg over the weekend: executives from microsoft met with apples services chief, eddy cue, who brokered the current search engine relationship with … [+382 chars]"
cnet,andrew lanxon,smartphone showdown: 15 years of android vs iphone - cnet,"commentary: during the last decade and a half, apple and google have raised each other's game with their fierce rivalry",2023-09-24T14:50:00Z,"""i'm going to destroy android, because it's a stolen product,"" steve jobs says in author walter isaacson's 2011 biography of the late apple co-founder jobs' fury around google and its smartphone so… [+15299 chars]"
time,bloomberg,china flags ‘security incidents with apples iphones,"china flagged security problems with iphones but said purchases won't be barred, after news reports of restricted use of apple products",2023-09-13T11:19:25Z,"china flagged security problems with iphones while saying it isnt barring purchases, the governments first comments on the topic after news reports that authorities are moving to restrict the use of … [+3637 chars]"
9to5mac,michael potuck,"apple pay fall promo offers up to 15% off at brooks brothers, madewell, more","apple pay has launched new deals for using the payment method this fall there are four retailers offering 10-15% off clothing, fashion, and more: brooks brothers, madewell, farfetch, and revolve check out all the details below on the new apple pay promo …",2023-09-28T18:19:07Z,"apple pay has launched new deals for using the payment method this fall there are four retailers offering 10-15% off clothing, fashion, and more: brooks brothers, madewell, farfetch, and revolve ch… [+4227 chars]"
marketwatch,jon swartz,": meta connect will focus on ai and mixed reality, but does that include apple?",ai and mixed reality are likely to be the focus of meta platforms inc's annual developers conference wednesday but the lingering question is whether meta will address a certain nemesis down the road,2023-09-26T12:30:00Z,ai and mixed reality are likely to be the focus of meta platforms incs annual developers conference wednesday but the lingering question is whether meta will address a certain nemesis down the road… [+2720 chars]
gizmodojp,はらいさん,ファインウーブンケースを長く使うにはどうしたらいい？,photo:はらいさん話題が尽きないappleの新ケース。レザーの廃止と同時に新たに登場したapple（アップル）のファインウーブンケース。発売からまだそれほどの日数は経っていないものの、いろいろ言われている今話題のケースですが、appleはこの件についてさまざまな対策を準備しているようです。ファインウーブンに関するメモが従業員に渡されてるっぽい9to5macはappleが従業員向けに渡したメモの,2023-10-03T02:30:00Z,copyright © mediagene inc all rights reserved
hipertextual,gabriel erard,"arm debuta en la bolsa: todo sobre la opv que apple, nvidia y qualcomm vigilan de cerca","ayer, arm anunció el precio de la oferta pública de venta (opv) de 95,5 millones de acciones, a cambio de 51 dólares cada una de esta forma, la diseñadora de chips británica levantó 4870 millones de dólares y alcanzó una valuación de mercado de más de 5400…",2023-09-14T13:29:58Z,"ayer, armanunció el precio de la oferta pública de venta (opv) de 95,5 millones de acciones, a cambio de 51 dólares cada una de esta forma, la diseñadora de chips británica levantó 4870 millones de… [+5468 chars]"
gizmodojp,三浦一紀,【iphoneまとめ】lightningケーブル捨てるの、ちょっと待って！ まだlightningなapple製品たちがいるよ #appleevent,iphone se、13、14など、まだlightningケーブルが必要な現役apple製品たち。,2023-09-12T19:05:00Z,copyright © mediagene inc all rights reserved
